WORD	LABEL	ANNOTATORS	SENTENCE	SENTENCE_INDEX
string	0	0	WASHINGTON -- The beleaguered director of the Secret Service resigned Wednesday after President Barack Obama lost confidence in her ability to lead the troubled agency amid a string of high-profile security lapses .	27
derailed	1	7	NEW YORK -- A New York City commuter train rounding a riverside curve derailed Sunday , killing four people and injuring more than 60 in a crash that threw passengers from the toppling cars and left a snaking chain of twisted wreckage just inches from the water .	13
asylum-seekers	0	0	Frontline nations like Greece , Italy and Hungary have pleaded for more help , while powerhouse Germany , which is expecting to take in 800,000 migrants this year , the most in the EU , has demanded that other nations step up and take in more asylum-seekers .	46
shaping	0	0	In a paper published recently in the Canadian Journal of Archaeology , researchers examined artifacts recovered at Riparo Bombrini , in northwest Italy , and concluded that their dwelling was organized around such activities as butchering animals , shaping tools and building fires .	38
worked	0	0	She worked so hard to try to give me everything , and I could never do anything for her , '' said Rocky , who requested that only his English name be used because he 's embarrassed by his poverty .	1
away	0	0	ANCHORAGE , Alaska -- Many middle school students in south-central Alaska spent spring break playing video games , skiing in what little snow has fallen or just enjoying a lazy week away from school .	31
spray	0	0	On the chain-link fence that surrounds the courts , spray paint marks the goals .	9
considers	0	0	The International Union for Conservation of Nature Red List of Threatened Species considers 12 percent of grouper , 11 percent of tuna and billfish and 24 percent of shark and ray species to be threatened with extinction .	12
wear	0	0	It has been on the market for two years , and while it does n't promise to prevent -LSB- concussions -RSB- -LRB- https://www.newsela.com/?tag=concussions -RRB- , Elmhurst College players who wear the shell during practice say it has made a big difference .	29
magma	1	5	Steam rose from the twin magma domes formed after Mount St. Helens ' cataclysmic eruption in 1980 and the quieter outburst that started in 2004 .	5
emergency	1	3	In an emergency , the bracelet can be unraveled and the parachute cord used in a variety of ways -- to create a shelter or make a tourniquet , for example .	2
aced	1	5	He says he 's aced a course called `` Machine Learning '' by hot-shot Stanford professor Andrew Ng , scoring a perfect 100 .	4
closely	0	0	When a law discriminates on the basis of sexual orientation , it must be closely evaluated to `` ensure that our most fundamental institutions neither send nor reinforce messages of stigma or second-class status , '' Judge Stephen Reinhardt wrote for the court .	14
code-named	0	0	Thank you for still being here on June 6 , 2014 , '' Hollande told veterans and dignitaries on Sword Beach , one of five code-named beaches taken by the Allies 70 years ago .	25
required	1	4	An economics and personal-finance class is now a required course for those who want a high school diploma in Virginia , and the Class of 2015 was the first that needed the course to graduate .	8
blood	0	0	The blood of dozens of African-Americans was spilled in the first of three attempted voting rights marches to the Alabama capital of Montgomery from Selma 50 years ago , on March 7 , 1965 .	1
assistance	1	5	`` We are going to provide assistance for refugees and displaced persons from Iraq and Syria , '' he said .	6
canoes	1	3	Drive hunting -- when groups of hunters on canoes fan out far offshore and clap stones together as they round up dolphins -- has been taking place off the Solomon Islands for many years .	8
pass	0	0	The states could become the first to pass such a referendum ; Washington state and California rejected similar measures after expensive campaigns in 2013 and 2012 , respectively .	7
fatalities	1	7	Since Boeing rolled out its first 777 to a huge crowd at its manufacturing facility in Everett , Wash. , in 1994 , more than 1,100 have been built and only one had been in a major accident , with no fatalities .	41
fair-weather	1	5	Months ago , many warned him not to invest in a place where fair-weather tourists flee in the fall and the big lake 's waters turn cold and storm-tossed , forcing the 100 or so hardy full-time residents of Cornucopia to hibernate for the winter .	13
complicated	1	8	The immigration system is complicated , the students were told .	4
Manager	0	0	`` The more we looked at the data , the more we realized the situation is bleak , '' Willits City Manager Adrienne Moore said .	21
krill	1	7	But unlike the other whales , the 25-foot-long young adult stuck near the surface -- and it did n't dive down to feast on the blooms of krill that attract humpbacks to the bay .	27
affirmed	1	8	CHARLESTON , S.C. -- A grand jury affirmed the state of South Carolina 's murder charge on Monday against a white former North Charleston police officer who fatally shot an unarmed black man trying to run from a traffic stop .	7
undermining	1	6	Some philatelists say the committee that helps the postmaster general pick new stamps is favoring pop celebrities and fictional characters over cultural sites and historical figures , undermining a long tradition .	27
certificates	1	4	Once the students obtain certificates to fly private airplanes , they are on a path to learn how to fly commercial airliners .	4
airliners	0	0	Once the students obtain certificates to fly private airplanes , they are on a path to learn how to fly commercial airliners .	21
Islamic	0	0	The group calls itself the Islamic State of Syria and the Levant -LRB- ISIL -RRB- and has also been called the Islamic State of Iraq and Syria -LRB- ISIS -RRB- .	21
banks	0	0	Extending their protests into the workweek , Hong Kong democracy activists continued occupying major thoroughfares Monday , forcing the closure of some schools , banks and other businesses in the semi-autonomous Chinese territory .	24
jumping	0	0	`` Coleman with his jumping frog -- bet stranger $ 50 -- stranger had no frog &amp; C got him one -- in the meantime stranger filled C 's frog full of shot &amp; he could n't jump -- the stranger 's frog won . ''	4
paths	0	0	The Cannery project will feature drought-tolerant landscaping along its bike paths , and most of the front yards will be landscaped with low-water plants in place of grass .	10
potential	1	6	One animal has the potential to restore these dry landscapes .	4
choices	0	0	She had plenty of choices .	4
siblings	1	3	His single mother was out of work , and there were two siblings to think about , then ages 2 and 3 .	12
perpetuated	1	9	But by focusing on the lack of opportunities in many of the city 's minority neighborhoods , and doing it through the lens of the city 's youth , Emanuel took on one of the top criticisms lobbed at him during the campaign : He 's a mayor who has perpetuated two Chicagos -- one for the wealthy and one for the rest .	50
electorate	1	6	`` The Justice Department expects to show that the clear and intended effects of these changes would contract the electorate and result in unequal access to the participation in the political process on account of race , '' Holder , joined by federal prosecutors based in North Carolina , said during a news conference announcing the lawsuit .	19
endangered	1	4	They also help the endangered California red-legged frog .	4
concerts	1	3	The free fan village will feature concerts , interactive games and player appearances at the foot of Market Street across from the Ferry Building , and will be among the main images broadcast of San Francisco .	6
diets	0	0	In order to put the scale of seafood loss in the United States in perspective , consider what curbing it could mean for our collective diets .	25
newly	0	0	In a brief appearance before reporters in which he took no questions , Biden did not go into details on differences over China 's newly declared restricted flying zone .	24
makings	0	0	Scientists launched the mission to better study the makings of comets , which they believe date back to the earliest days of the solar system , in hopes of learning more about their history .	8
person	0	0	On Friday , a second person died of a heart attack as a tear-gas canister exploded near her , according to Brazilian news agencies .	5
town	0	0	&lt;img class="pull-right" src="https://newsela-test-files-f331e.s3.amazonaws.com/article_media/extra/20140117_CALIF_DROUGHT.jpg" /&gt; LOS ANGELES -- Officials of the small town of Willits , Calif. , looked at their two municipal reservoirs last week , did some calculating and realized they had enough water to last only 100 days .	8
jumped	0	0	`` Hoverboard is on fire , '' he says in a video taken right after he jumped off the burning piece of equipment .	16
fishermen	0	0	But crab pots are sitting empty on docks , boats are idled and fishermen are anxiously waiting for California authorities to open the lucrative Dungeness crab season .	13
occurs	0	0	The first , disadvantageous inequity , occurs when one receives less than a peer .	6
farther	0	0	`` Some people think if you do all this other stuff , it takes away from focusing on instruction , when really it ensures that you can take kids farther academically . ''	29
heart-shaped	0	0	Their heart-shaped faces swiveled about , gazing with large , dark eyes at the creature who 'd taken them from their home .	1
employees	1	4	Grayson Davey , an eighth-grader , spent most of his week off looking for employees .	14
chug	1	4	Because if you shut off the supply of 24-ounce fountain drinks , bacon cheeseburgers , fried chicken and stuffed tacos , the children who frequently eat at fast-food restaurants will go home and do what they generally do when not eating at a fast-food restaurant : They 'll snarf cookies and chips , chug sugar-sweetened soda from a bottle , and heat up frozen pizzas .	53
scenes	0	0	Egyptian television showed chaotic scenes of bloodied , unconscious protesters lying in makeshift triage facilities .	4
similarities	1	6	`` I realized we had a lot of similarities , '' said Banks , 17 , who said his father is involved in a gang and his mother jobless .	8
16-ounce	0	0	These discoveries were made with the help of 25 volunteers , each of whom who downed a 16-ounce can of Rockstar on an empty stomach in five minutes or less .	17
insulin	1	6	WASHINGTON -- Chris Carroll wo n't forget the first time he saw someone hack into an insulin pump and make it deliver a lethal dose .	16
Libraries	0	0	Little Free Libraries are handcrafted structures full of books for children and adults , a free-books movement that has spread not only around Illinois but onto lawns around the world .	2
leg	0	0	But lose a leg , as Zac Vawter did after a motorcycle accident in 2009 , and you will appreciate the myriad calculations that go into putting one foot in front of the other .	3
twist	0	0	But there 's a twist : They do n't yawn in response to yawns from other dogs , but to yawns from people .	4
patch	1	3	But a housing crash and a flood of Chinese money later , she 's part of a growing cottage industry of real estate agents , bankers and attorneys who specialize in helping wealthy foreigners buy a little patch of Southern California .	37
awards	0	0	MOSCOW -- The day after the 2014 Sochi Olympics ended with Russia atop the medals table , a beaming President Vladimir Putin presented his athletes with state awards for `` defending the honor '' of their country by showing that its `` great and glorious '' sports traditions were still strong .	27
automated	1	9	The data come from automated monitoring equipment the government has installed at about 10,000 plants around the country .	4
constitutional	1	6	The recall was the first in the 100 years since Colorado adopted the constitutional provision and grew out of sweeping measures passed last winter after mass shootings at a school in Newtown , Connecticut , and at a movie theater in Aurora , outside Denver .	13
nylon	1	4	The neatly woven bracelets or keychain dangles are made from tough nylon cord .	11
offered	0	0	Marching alongside the protesters , Allen snapped portrait after portrait that offered a view from the front lines in the days after Gray 's death .	11
jury	0	0	The 9th Circuit said the case would have to be retried because an obviously gay juror was unjustifiably excluded from the jury .	21
handbags	1	3	He made a beeline for the Coach store , where he picked out three expensive handbags .	15
pain	0	0	But if monotonously sunny weather continues to curse the state , the pain of water shortages will spread , albeit unevenly .	12
coauthor	1	6	`` There has been an increased commercialization of the teeth , and that 's a little troubling , '' said study coauthor Scott Baker , associate director of the Marine Mammal Institute at Oregon State University .	21
ultraconservatives	1	9	For the players , basketball is not merely a sport but an act of defiance in a country where female access to exercise is outright shunned by ultraconservatives ; physical education is still not on the curriculum for girls in Saudi public schools .	27
injustice	1	8	About a million people took to the streets of 100 Brazilian cities as their protests against corruption and social and economic injustice saw their first two deaths .	21
stalagmites	1	7	Experts even recreated stalactites and stalagmites from the original site , as well as the cool temperatures and thick smell of humidity .	5
sectionalism	1	9	And when it comes to the Civil War , children are supposed to learn that the conflict was caused by `` sectionalism , states ' rights and slavery '' -- written deliberately in that order to telegraph slavery 's secondary role in driving the conflict , according to some members of the State Board of Education .	21
fairs	0	0	And Home Depot is n't the only business that 's looking to beef up its staff , and find innovative ways beyond job fairs , to connect with veterans .	23
search	0	0	On this sun-blasted tract of sand 14 miles south of Baker , Calif. , molecular biologist and -LSB- entrepreneur -RSB- -LRB- https://www.newsela.com/?tag=entrepreneur -RRB- J. Craig Venter is field-testing a technology that he says will revolutionize the search for extraterrestrial life .	36
marred	1	4	The Chinese capital was awarded the 2022 Winter Olympics on Friday , beating Kazakh rival Almaty 44-40 in a surprisingly close vote marred by technical problems , taking the Olympic Games back to the city that hosted the summer version in 2008 .	22
worldwide	0	0	Five years after U.S. investment bank Lehman Brothers collapsed , triggering a global financial crisis and shattering confidence worldwide , families in countries as varied as the United States , Japan , the United Kingdom and Germany remain hunkered down , too spooked and distrustful to take chances with their money .	18
assist	1	3	Nowhere was this more painfully obvious than in Japan four years ago , after a small squadron of robots was sent to assist workers at the devastated Fukushima Daiichi nuclear plant .	22
controversial	1	9	Commissioner Adam Silver said he will try to force the controversial owner to sell his franchise .	10
breathing	0	0	Just by breathing , tourists could erode the images .	2
adherents	1	9	Some adherents even have a name for this concept : the decolonized diet .	1
wartime	1	3	All three are now transferring their wartime skills to classrooms as teachers .	6
process	0	0	If the agency decides to proceed with reintroducing grizzlies , the next step will be a lengthy process that includes scientific reviews and public hearings that could take years .	17
X-T1	0	0	In late April , the then-26-year-old shot his Fuji X-T1 over and over again as demonstrators took to the streets to protest the death of Freddie Gray , who suffered a fatal injury in police custody .	9
frequency	1	6	Clumps of the brownish seaweed known as sargassum have long washed up on Caribbean coastlines , but researchers say the algae blooms have exploded in extent and frequency in recent years .	27
automatic	1	7	TUCSON , Ariz. -- The accidental death of an instructor at an Arizona shooting range , killed while teaching a 9-year-old girl to fire a fully automatic Uzi , has touched off a national debate on whether children should be given access to such weapons .	26
marking	0	0	On Friday , a sun-splattered Normandy celebrated peace , with silent salutes , tears and international friendship marking 70 years since the D-Day invasion helped change the course of World War II and modern history .	17
Judge	0	0	`` We can not rewrite history , but we can right history , '' Judge Mark Hayes said as he made the ruling for the men known as the Friendship 9 , and those in court clapped and cheered .	14
stood	0	0	Some survivors stood , somber-faced and proud , alongside President Barack Obama , French President Francois Hollande and other world leaders as they paid tribute Friday to history 's biggest amphibious invasion .	2
level	0	0	The monitoring site , more than 5,000 feet above sea level on a pine-studded overlook above the lowest layer of the atmosphere , gives Faloona access to undisturbed air from across the Pacific before it is fouled by U.S. pollution sources .	10
committing	1	6	China has many laws against pollution , Ma said , but `` enforcement is weak '' because the cost of committing violations is too low .	20
souvenirs	1	6	A big chunk of their spending -- about 33 percent -- goes for gifts and souvenirs .	15
saying	0	0	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S.-China relations must hinge on trust and a positive notion of each other 's motives .	15
motorcycle	0	0	But lose a leg , as Zac Vawter did after a motorcycle accident in 2009 , and you will appreciate the myriad calculations that go into putting one foot in front of the other .	11
refer	0	0	Since August , Miranda has been working at Home Depot in Totowa , N.J. , where he and two fellow vet employees refer to each other by their former military ranks .	22
glass	0	0	How about a Lottie astronomer doll complete with a telescope , tripod and fact sheet about notable women stargazers , or a fossil hunter armed with a magnifying glass , geology hammer and ammonite fossils ?	28
created	0	0	The discovery of the long-hidden artwork created a sensation , but the site was quickly closed to the public .	6
destroying	0	0	But Jupiter came swinging in , clearing the way for small worlds like Earth by destroying those older planets .	15
wayward-jetliner	1	8	The lack of any tangible clue to its fate was eerie , unsettling , bizarre -- a real-world echo of the TV show `` Lost '' and the wayward-jetliner mystery at the heart of its story .	28
profiled	0	0	It has taken longer than expected -- news articles profiled the waning fight in 2011 -- but finally , the state is almost free of the invasive rodents .	9
plastic	0	0	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .	33
seeks	0	0	The lawsuit , which is similar to one brought by former football players against the NFL , joins others filed by hockey players in Washington and New York and seeks monetary damages and increased medical monitoring .	29
flip	0	0	Music starts , and a dozen straight faces flip to wide smiles , matching the energy in the moves on their faces .	8
brisk	1	7	The increase factors in brisk sales during the final quarter of this year , when sales are expected to rise 5 percent to $ 9.6 billion , a stronger pace than last year 's 3.6 percent gain .	4
ironic	1	5	So it 's perhaps ironic that Germany is now among the countries resisting Greece 's requests for debt relief .	4
autonomy	1	8	Emergency-response robots have long suffered from having a range of mobility and dexterity comparable to a 1-year-old child and a level of autonomy generally limited to completing a single task at a time .	22
regions	0	0	But after a trial run in New Zealand earlier this year , DeVaul and other engineers on the project say they believe a global network of low-cost , high-altitude balloons could carry enough wireless transponders to beam Internet connections to remote parts of Africa , Asia and other developing regions .	49
waiting	0	0	`` They 're just sitting there in a lawn chair waiting for you .	10
Music	0	0	Music starts , and a dozen straight faces flip to wide smiles , matching the energy in the moves on their faces .	0
non-threatened	0	0	Environmental and fishery groups say agriculture is manipulating the drought crisis to extract delta water , exposing even non-threatened fish and the fishing industry to catastrophic losses .	18
compatriots	1	8	-LSB- -RSB- -LRB- https://newsela-test-files-f331e.s3.amazonaws.com/article_media/extra/20140602_Europe_royals.jpg -RRB- MADRID -- Spain 's King Juan Carlos I told his compatriots Monday he had opted to abdicate to his son Felipe , arguing that `` a new generation demands , with justice , the leading role . ''	15
features	0	0	The I am Elemental line of female action figures features a character named Industry who can `` repair anything that is broken . ''	9
treats	0	0	Too often , the FTC said , parents were caught unaware that in-app purchases were being made and Apple did n't do enough to make it clear children were buying gems , coins , or treats for their virtual pets .	35
forecast	1	6	`` This year is a whole new level of crazy , '' said Ara Azhderian of the San Joaquin &amp; Delta-Mendota Water Authority , representing many farmers who are forecast to get zero water this year .	29
covered	0	0	What they found that Sunday in 1994 still fills Chauvet 's voice with wonder : an immense cave covered with prehistoric paintings of horses , mammoths and rhinos -- paintings so vivid , he says , it felt like the Stone Age artists had just moments ago put down their ochre and walked away .	18
global	0	0	Five years after U.S. investment bank Lehman Brothers collapsed , triggering a global financial crisis and shattering confidence worldwide , families in countries as varied as the United States , Japan , the United Kingdom and Germany remain hunkered down , too spooked and distrustful to take chances with their money .	12
capture	1	5	It will also be a wink to his craft , the one he uses to capture this city , his `` beautiful ghetto , '' in powerful black-and-white photos that have made him a surprise media sensation .	15
flow	0	0	Because beavers are so good at recharging ground water , they can make streams flow when they would otherwise run dry such as during the summer months .	14
character	0	0	The I am Elemental line of female action figures features a character named Industry who can `` repair anything that is broken . ''	11
fully	0	0	`` The evidence fully supports my findings that -LRB- 1 -RRB- Mr. Brady participated in a scheme to tamper with the game balls after they had been approved by the game officials for use in the AFC Championship Game and -LRB- 2 -RRB- Mr. Brady willfully obstructed the investigation by , among other things , affirmatively arranging for destruction of his cellphone knowing that it contained potentially relevant information that had been requested by the investigators , '' Goodell wrote in his ruling .	3
companies	0	0	The curriculums , taking hold as school budgets tighten and the numbers of farms in the United States decline , are rich in science and touted as stepping stones for college-bound students considering careers in everything from urban forestry to renewable natural resources and genetic engineering of crops , perhaps for giant agribusiness companies such as Monsanto , Dow , DuPont and Pioneer .	53
blooms	1	3	But unlike the other whales , the 25-foot-long young adult stuck near the surface -- and it did n't dive down to feast on the blooms of krill that attract humpbacks to the bay .	25
interest	0	0	The dolls are part of a movement catering to shoppers ' interest in STEM -- encouraging children , particularly girls , to study fields related to science , technology , engineering and math .	11
Snakebites	0	0	`` Snakebites , '' said lead author Luis Fernando Chaves , an ecologist at the Nagasaki University Institute of Tropical Medicine in Japan , `` do n't get the attention they deserve , even though they are a major problem . ''	1
continent	1	4	CARMEL VALLEY , Calif. -- High above the Big Sur coast , Ian Faloona is finding pollution on the edge of the continent , a place that should have some of the country 's cleanest air .	22
labels	0	0	Techniques ranging from whole genome sequencing to the ability to create artificial DNA labels that indicate points of origin are surprisingly affordable now , and have led to novel global collaborations and inventions .	13
simply	0	0	`` They simply have no place in the NBA . ''	2
pop	0	0	OXKUTZCAB , Mexico -- Wander into Cafe Rex in Oxkutzcab , Mexico , deep in the interior of the Yucatan Peninsula , and some odd things pop out on the menu .	26
formation	1	3	Eons ago , while flinging leftover debris from planetary formation out of our solar system , Jupiter probably also tossed some down toward our primordial globe , delivering some of the water that now fills our oceans .	9
adult	0	0	According to figures provided to The Associated Press , youth membership for the fiscal year ending Sept. 30 was 1.88 million , down nearly 6.2 percent from 2014 , and adult membership was 784,120 , down 3.1 percent .	30
