WORD	LABEL	SENTENCE	SENTENCE_INDEX
husbands	0	After work is over , many go home to breathe secondhand smoke created by husbands or other family members .	14
wondering	0	Now , as a torrent of refugees flows out of the Middle East and into Europe , many people are wondering why rich Gulf nations and the United States are not doing more to help .	20
spooked	1	Five years after U.S. investment bank Lehman Brothers collapsed , triggering a global financial crisis and shattering confidence worldwide , families in countries as varied as the United States , Japan , the United Kingdom and Germany remain hunkered down , too spooked and distrustful to take chances with their money .	42
hack	1	WASHINGTON -- Chris Carroll wo n't forget the first time he saw someone hack into an insulin pump and make it deliver a lethal dose .	13
mitigating	1	Aggravating factors were anything that could support a death sentence , while mitigating factors would argue for life imprisonment instead .	12
landscapes	1	Nudged by local governments worried about water shortages , home builders and homeowners associations are showing increased willingness to embrace the drought-tolerant landscapes that more naturally suit California .	22
reigning	1	Tom Brady and the players ' union are headed to a legal clash with the NFL over Deflategate after Commissioner Roger Goodell rejected Brady 's appeal Tuesday and upheld the four-game suspension of the New England Patriots quarterback and reigning Super Bowl MVP .	39
placed	0	He pulled her close , placed a hand on her shoulder , and the two bopped back and forth in a two-step , laughing and giggling .	5
terrified	1	`` We get people from LA and Orange County and they are terrified of black bears , '' she said .	12
dating	0	The otolith collection , dating to the 1960s , had been sitting in an old Sand Point hangar belonging to the National Oceanic and Atmospheric Administration -LRB- NOAA -RRB- .	4
species	0	Northern gannets , a North Atlantic species , have been spotted off the coast of California several times in recent years , for instance , while several Pacific species of auks , a type of diving bird , have recently been observed in the Atlantic .	28
asylum	1	So precious was that newfound freedom that on Nov. 24 he applied for asylum in the United States , joining a surge of Iraqis seeking asylum since the extremist Islamic State group 's rise .	13
immediate	0	Volunteer attorneys are scrambling to prepare for as many as 50 hearings a day per judge to assert the children 's right to become permanent residents , or at least avoid immediate deportation .	31
remnants	1	The new evidence , published in the journal PLOS One , comes from funerary textile remnants collected from two of the earliest known Egyptian cemeteries that date to 4500 B.C. .	15
participated	1	Results from the 2012 Program of International Student Assessment showed that U.S. teenagers were in the bottom half for financial literacy among the 18 countries that participated , ahead of France and Spain , but below Latvia , Russia and China .	26
airliners	0	Once the students obtain certificates to fly private airplanes , they are on a path to learn how to fly commercial airliners .	21
prison	0	Local tribunals called gacaca courts have allowed many offenders to be released from prison in return for confessions and expressions of remorse .	13
brandishing	1	The noise of gunfire is almost unmistakable to most Afghans , and unlike in the U.S. , there have been no prominent cases of police officers here killing children brandishing toy Kalashnikovs or plastic pistols .	29
addiction	1	China is known as the Smoking Dragon , but its addiction to tobacco is n't shared between the sexes .	10
factor	0	Aside from the `` ick '' factor , she wondered , was there a reason to quarantine the youngsters ?	6
outrage	0	In the months after the outrage stirred by the deaths of Brown and another unarmed African-American , Eric Garner , in New York , singer D'Angelo released his first album in more than a decade , `` Black Messiah , '' which included references both glancing and startlingly direct to the chain of events between Selma and Ferguson .	5
worrying	0	The Nizards complain that Sacha has lost his bearings , and that their leisurely Tuesday evenings , when the family could go out to dinner or Sacha could watch TV without worrying about class the next morning , have been sabotaged .	31
abaya	1	Two girls in silky abaya gowns rush to embrace her , their mother standing back shyly .	4
nations	0	New York and New Jersey announced mandatory quarantines for anyone traveling from three West African nations who has had direct contact with an Ebola patient , including health care workers .	15
ex-service	0	Home Depot is one of a number of companies that have stepped up their efforts to recruit U.S. military veterans , helping ex-service members such as Miranda who have struggled to find work and to adjust to life back home .	22
campaign	1	The campaign around the Maine Bear Hunting Ban Initiative , which will appear on the ballot as Question 1 , has shed light on Maine 's unique status in the wildlife world .	1
iron	0	Now an iron ballast and a wooden pulley block retrieved from the shipwreck of the São José-Paquete de Africa are coming to Washington , where next year they will be on view in an exhibition on slavery in the new National Museum of African American History and Culture .	2
needs	0	The girls were paired in the Rising Stars Buddy Baseball program in west suburban Wheaton , Illinois , which matches students with special needs with partners on the field .	23
damaged	0	`` It seriously damaged my child 's psychology , '' said Guvener , who heads the Protestant Church in Diyarbakir .	3
Fish	0	Fish ear bones , also known as otoliths , are like tree rings for the ocean .	0
meaningful	1	Organizers say the girls ' five-year friendship -- which spills over from the baseball field to Taylor Swift concerts , trips to the local swimming pool and other activities -- is an inspiring example of the meaningful bonds formed in programs like Buddy Baseball , in which young people with special needs are exposed to sports with the help of kids without similar challenges .	36
revealing	0	Women are bound by strict rules when it comes to their attire , so they can not be seen by men while jogging in sweat pants , much less wearing fitted or revealing shorts .	32
send	0	CHICAGO -- For years a general complaint about dolls has been that they send the wrong messages to children , whether it 's promoting an unrealistic body image or reinforcing stereotypes about girly interests .	13
patch	1	But a housing crash and a flood of Chinese money later , she 's part of a growing cottage industry of real estate agents , bankers and attorneys who specialize in helping wealthy foreigners buy a little patch of Southern California .	37
immigrants	1	WASHINGTON -- In a major shift in immigration patterns over the next 50 years , Asians will have surged past Hispanics to become the largest group of immigrants heading to the United States , according to estimates in a new immigration study .	27
kicks	0	JIDDAH , Saudi Arabia -- As the NBA season kicks off in America this week , a group of Saudi women and girls will be pursuing their own hoop dreams .	9
shop	0	But he was back in Lexington this month to open a show of his work at Mulberry &amp; Lime , a downtown home furnishings and gift shop that also sells work by local artists .	26
consequences	1	The recommendations are bound to prompt eye-rolling and LOLs from many teens but an influential pediatricians group says parents need to know that unrestricted media use can have serious consequences .	29
warns	0	Coach Steve Mask warns players not to post about injuries , which can scare away recruiters .	3
lawsuits	0	Mostly , it 's about river water allowed to reach the Pacific Ocean through the Sacramento-San Joaquin River Delta -- a perennial California argument filled with suspicion , lawsuits and politics .	28
membership	0	Along with school programs , membership in Future Farmers of America is up to about 580,000 -- nearly double its ranks of the mid-1980s .	5
venue	1	That leaves libraries as a crucial venue for their youngest patrons , but funding challenges , reduced hours on school nights and aging equipment have made it harder to meet the demand .	6
contamination	1	Despite rising concerns about food safety and authenticity , contamination rates by salmonella , campylobacter , Escherichia coli and other common pathogens have not fallen or are actually on the increase , depending on the microbe , according to a 2013 report from the U.S. Centers for Disease Control and Prevention -LRB- CDC -RRB- .	9
used	0	In an emergency , the bracelet can be unraveled and the parachute cord used in a variety of ways -- to create a shelter or make a tourniquet , for example .	13
Scientists	0	Scientists never observe these elements directly .	0
assault	1	KABUL , Afghanistan -- The weapons of Afghanistan 's long decades of war can be seen almost everywhere , from the burned-out hulks of Soviet tanks to the Kalashnikov assault rifles slung over policemen 's shoulders and helicopter gunships roaring overhead .	29
spotlight	1	Bailey and his daughter were among dozens of father-daughter couples gathered on Chicago 's South Side recently at a party designed to spotlight the role of black fathers in their daughter 's lives .	22
cars	0	In about a week , winds carry ozone formed by emissions from cars , factories and power plants in Asia to the U.S. West Coast , where it can add to locally generated pollution , worsening smog in cities such as Bakersfield , Fresno and Los Angeles .	12
bankrolled	0	Opponents led by a group called Save Maine 's Bear Hunt say the Humane Society 's involvement shows that this is a fight being bankrolled by outside lobby groups with a broader agenda of ending sport hunting nationwide .	24
revered	1	Copeland , 32 , has become one of America 's most famous female athletes , revered for her unlikely ascendance in an arts world notorious for showcasing only lithe white ballerinas .	15
in-app	0	Too often , the FTC said , parents were caught unaware that in-app purchases were being made and Apple did n't do enough to make it clear children were buying gems , coins , or treats for their virtual pets .	12
deaths	0	While illicit border crossings in this southern Arizona corridor have plummeted , deaths are at an all-time high .	12
everything	0	The curriculums , taking hold as school budgets tighten and the numbers of farms in the United States decline , are rich in science and touted as stepping stones for college-bound students considering careers in everything from urban forestry to renewable natural resources and genetic engineering of crops , perhaps for giant agribusiness companies such as Monsanto , Dow , DuPont and Pioneer .	35
unhealthful	1	Would the number of our kids who carry an unhealthful amount of extra weight plummet ?	9
west	0	The girls were paired in the Rising Stars Buddy Baseball program in west suburban Wheaton , Illinois , which matches students with special needs with partners on the field .	12
amber	1	LOS ANGELES -- The amber lights flicker on above the tennis courts at DeForest Park in Long Beach .	4
Period	0	Period .	0
watchman	1	Holder also said his office is examining all available evidence before deciding whether to pursue charges against neighborhood watchman Zimmerman in the shooting death of the black teen -- though he gave no indication of the timetable involved .	18
waited	0	`` We do n't have any Internet at home , '' Morua said as her oldest , 11-year-old Abel , clicked through an assignment on a library laptop while Alina , 9 , waited for her turn at a desktop .	33
allegiance	1	Turkey has long enshrined the secular ideals of founding father Mustafa Kemal Ataturk , particularly in an education system that until recently banned Islamic headscarves in schools and made schoolchildren begin the day reciting an oath of allegiance to Ataturk 's legacy .	37
heart-shaped	0	Their heart-shaped faces swiveled about , gazing with large , dark eyes at the creature who 'd taken them from their home .	1
give	0	The software , called Hyperion , simulates the physics of light , which can make animated films more lifelike or give them an otherworldly look .	20
exist	0	Without Jupiter , humans might not exist .	6
bite	0	Climate change might have a nasty bite .	6
fast	0	Even as the children 's `` Bring Rodrigo Home '' campaign built momentum , it became clear that things would not move fast .	22
fine	0	The fine will be donated to organizations dedicated to anti-discrimination and tolerance efforts that will be jointly selected by the NBA and the Players Association , Silver said .	1
birthday	0	`` Today I 'm writing to you on Rosa Parks ' 100th birthday to do the right thing .	12
healthy	0	The School Nutrition Association is calling on Congress and the U.S. Department of Agriculture to ease up on the next round of federal healthy food requirements , due July 1 .	23
textbooks	0	There is also a call to reexamine a quieter but just as contentious aspect of the Civil War in American society -- how the history of the war , so central to our nation 's understanding of itself , is presented in public school classrooms and textbooks .	46
agricultural	1	In a section titled `` Patterns of Immigration , '' a speech bubble pointing to the continent of Africa read : `` The Atlantic Slave Trade between the 1500s and 1800s brought millions of workers from Africa to the southern United States to work on agricultural plantations . ''	45
susceptible	1	Humans and other primates are more susceptible to contagious yawning when they are around those with which they share `` a close social bond . ''	6
accomplishing	0	`` The highest rank in a democracy is citizen , not Senate president , so soon along with many of you , I will hold that rank and there 's nothing citizens ca n't accomplish when they put their minds to accomplishing it , '' Morse told disconsolate supporters at a party that turned into a political wake .	41
low-cost	0	One school science fair victory , a few national accolades , $ 35,000 of his parents ' savings and a visit to the White House later , Shubham today is the founder of Palo Alto startup Braigo Labs , which aims to become the first purveyor of low-cost , compact Braille printers .	47
embody	1	And a generation of young people who grew up after the mass killings embody the hope of a new breed of Rwandans who identify not by ethnicity but by nationhood .	13
crayons	0	At a local elementary school this month , Kyle moved boxes crammed with pens , pencils , crayons , markers and mechanical pencils with his mom 's help .	17
assume	1	Buhari , 72 , will assume power in Africa 's richest nation at a time of crippling uncertainty -- as public revenue shrinks because of the falling price of oil and the Boko Haram insurgency threatens the country 's northeast .	5
frequency	1	Clumps of the brownish seaweed known as sargassum have long washed up on Caribbean coastlines , but researchers say the algae blooms have exploded in extent and frequency in recent years .	27
celebrities	1	Some philatelists say the committee that helps the postmaster general pick new stamps is favoring pop celebrities and fictional characters over cultural sites and historical figures , undermining a long tradition .	16
outfield	1	They hold hands as Giambalvo leads Dungan to first base after her hit goes airborne , and they giggle together in the outfield while waiting to make a catch .	22
whole	0	Techniques ranging from whole genome sequencing to the ability to create artificial DNA labels that indicate points of origin are surprisingly affordable now , and have led to novel global collaborations and inventions .	3
misjudgment	1	He told NAACP members attending the group 's 104th annual convention to peacefully confront `` the unfortunate stereotypes '' that sometimes lead to police suspicion and private misjudgment .	27
fairs	0	And Home Depot is n't the only business that 's looking to beef up its staff , and find innovative ways beyond job fairs , to connect with veterans .	23
tradition	1	San Francisco 's Fisherman 's Wharf typically bustles this time of year as workers prepare to haul in millions of pounds of Dungeness crab that are a tradition at Thanksgiving and other holiday meals .	27
stop	0	The children like to take an extra minute near the stop to peek inside the free-standing blue and white box full of books , some of them grabbing a book to go .	10
role	0	Bailey and his daughter were among dozens of father-daughter couples gathered on Chicago 's South Side recently at a party designed to spotlight the role of black fathers in their daughter 's lives .	24
faults	1	The IOC 's secret vote was conducted by paper ballot , after the first electronic vote experienced technical faults with the voting tablets and was not counted .	18
queer-shaped	1	Mark Twain saw one and described it as having a `` bald , red , queer-shaped head , featherless red places here and there on his body , intense great black eyes set in featherless rims of inflamed flesh . ''	15
reminded	1	Before the jurors began their deliberations , District Judge George A. O'Toole Jr. reminded them that they had to decide if Tsarnaev would spend the rest of his life in prison or if he should be executed by the federal government .	13
tragic	1	`` Although tragic , commercial air transportation has had a stellar safety record -- something like 40 times safer than driving , '' he said .	2
helps	0	`` It helps me escape .	2
marveling	1	CORNUCOPIA , Wis. -- On some days , Kevin Hunt stands at his Star North gas station in this eye-blink of a town on mighty Lake Superior , marveling at Mother Nature and his own dumb luck .	28
heart	0	He and other scientists at rural , high-altitude sites across the western U.S. have been documenting rising levels of ozone , which can trigger asthma attacks , worsen heart and lung disease and lead to premature deaths , even as emissions have plummeted nationwide over the last few decades .	28
take	0	There are now 17 states that require high school students to take personal-finance courses , according to the Council on Economic Education .	11
edible	1	Between 2009 and 2013 , as much as 47 percent of all edible seafood in the United States went to waste , according to a new study from the Johns Hopkins Center for a Livable Future .	12
diapers	0	It 's diapers .	2
glancing	0	In the months after the outrage stirred by the deaths of Brown and another unarmed African-American , Eric Garner , in New York , singer D'Angelo released his first album in more than a decade , `` Black Messiah , '' which included references both glancing and startlingly direct to the chain of events between Selma and Ferguson .	45
stay	0	`` I believe a large number , 50 percent , have been able to show up in immigration court and have been allowed to stay , avoiding deportation , '' said Nora Sandigo , leader of American Fraternity .	24
economist	1	`` It does n't take very much to destroy confidence , but it takes an awful lot to build it back , '' says Ian Bright , senior economist at ING , a global bank based in Amsterdam .	28
crabs	0	California delayed the Nov. 15 start of its commercial crab season after finding dangerous levels of a toxin in crabs .	19
thing	0	It should be no surprise then that young children play `` police and Taliban , '' chasing each other around with toy guns and weaponry designed to mimic the real thing .	30
shootings	0	The recall was the first in the 100 years since Colorado adopted the constitutional provision and grew out of sweeping measures passed last winter after mass shootings at a school in Newtown , Connecticut , and at a movie theater in Aurora , outside Denver .	26
installment	1	The latest installment of the PBS series `` In Performance at the White House '' celebrated the history of American music with performances by Queen Latifah , Smokey Robinson , Usher , Trombone Shorty and Esperanza Spalding , among others .	2
consensus	1	`` For the first time in history , states recommended by consensus that an international treaty be negotiated to address the urgent crisis of biodiversity loss on the high seas , '' says Daniela Diz , a marine policy expert at WWF -LRB- World Wildlife Fund -RRB- , who sat in on the consultations , `` It 's an important step forward . ''	11
mere	1	The ball was a mere 5 feet from the hole , but when Chey Castro raised his putter for what should have been a clean shot , his hand spasmed and he missed the putt that would have won him $ 180 at the tournament .	4
court	0	`` I believe a large number , 50 percent , have been able to show up in immigration court and have been allowed to stay , avoiding deportation , '' said Nora Sandigo , leader of American Fraternity .	18
spirit	0	The McCluer Pommies , a team of 12 at McCluer High School in suburban Florissant , near Ferguson , Missouri , take their job of spreading spirit at the high school and in the community seriously .	26
ripples	1	CASPER , Wyo. -- These are boom times in the resource-rich Cowboy State , courtesy of an oil explosion whose ripples can be felt across the land .	20
conclusions	0	The acting head of the Russian athletics federation , Vadim Zelichenok , said the report 's conclusions appeared to have been `` made to order . ''	16
mesquite-speckled	1	These are the sort of hard decisions that hundreds of residents who live in the harsh , mesquite-speckled borderlands have had to make on a regular basis .	17
behavior	1	Knudtson said her son has had trouble controlling his behavior in the past and ended up in time out , suspension or in a `` buddy room '' alone with a school staff member until he could calm down .	9
stamp	0	WASHINGTON -- Harry Potter , Elvis Presley and Bugs Bunny share one thing in common : Traditional stamp collectors are no fans .	17
viral	1	And even jaded New Yorkers were both disgusted and a little impressed by `` Pizza Rat , '' the plucky rodent in a recent viral YouTube clip seen dragging a large cheese slice down a subway stairwell .	24
psychologists	1	In an effort to understand how much of this concept is hard-wired into our biology and how much of it is cultural , a team of psychologists and anthropologists led by Harvard University professor Felix Warneken traveled to seven countries to study how different groups of children play fair .	26
curbing	1	In order to put the scale of seafood loss in the United States in perspective , consider what curbing it could mean for our collective diets .	18
sample	0	The USADA doping control officer had come from Milwaukee to take a urine sample from Evans .	13
strut	1	Owl catcher Hussein Mduduzi , jumping from roof strut to roof strut , managed to catch two owlets , but the eight grown owls flew off .	8
worth	0	A closure along the entire West Coast would be a blow to the industry , which harvested nearly $ 170 million worth of Dungeness crab in 2014 .	21
librarian	1	`` The laptops we do have , the batteries are n't working , '' said Patricia Readon , a librarian working the children 's desk at the South Dade branch in Cutler Bay .	19
showcasing	1	Copeland , 32 , has become one of America 's most famous female athletes , revered for her unlikely ascendance in an arts world notorious for showcasing only lithe white ballerinas .	26
parole	1	On Thursday , Alabama 's parole board pardoned the last of the long-dead Scottsboro Boys , nine black teenagers falsely accused of rape in 1931 .	5
