WORD	LABEL	ANNOTATORS	SENTENCE	SENTENCE_INDEX
hammer	0	0	How about a Lottie astronomer doll complete with a telescope , tripod and fact sheet about notable women stargazers , or a fossil hunter armed with a magnifying glass , geology hammer and ammonite fossils ?	31
renewable	1	8	The curriculums , taking hold as school budgets tighten and the numbers of farms in the United States decline , are rich in science and touted as stepping stones for college-bound students considering careers in everything from urban forestry to renewable natural resources and genetic engineering of crops , perhaps for giant agribusiness companies such as Monsanto , Dow , DuPont and Pioneer .	40
showings	0	0	Longtime coaches Rega Wesley-Stewart and Jackie Allen want to keep up the momentum of the competition dance team at McCluer High after strong showings in recent years , including first place in two categories at a recent competition against 40 area teams .	23
Academy	0	0	`` Glory '' won best original song at the Academy Awards on Sunday .	9
continues	0	0	And as the number of `` buddy '' or `` inclusion companion '' sporting opportunities continues to proliferate across the country , advocates for children with special needs say young people today are growing up with a better understanding and openness toward people with disabilities than the generations before them .	15
exceed	0	0	`` These temperatures exceed what we are expecting anywhere else in the world in the tropics over the next century , '' says John Burt , a marine biologist at a branch of New York University in the Emirates , who led the reef tour in 2012 .	3
conventional	1	7	Emanuel 's decision to draw attention to a single issue is less conventional .	12
surprisingly	1	5	The Chinese capital was awarded the 2022 Winter Olympics on Friday , beating Kazakh rival Almaty 44-40 in a surprisingly close vote marred by technical problems , taking the Olympic Games back to the city that hosted the summer version in 2008 .	19
coup	1	7	Muslim Brotherhood officials , who are supporting ousted Islamist President Mohamed Morsi , said security forces raided their encampment outside the Republican Guard compound with tear gas and gunfire about 4 a.m. Supporters of Morsi have camped there for days demanding the release of the former leader , who has been under arrest since a military coup last week .	56
combed	0	0	The authors of the latest research combed through a national database of Americans ' health and nutrition behaviors and grouped 4,466 American kids -- from ages 2 to 18 -- according to what they ate when they were not eating food purchased at a fast-food restaurant .	6
plummeted	1	9	While illicit border crossings in this southern Arizona corridor have plummeted , deaths are at an all-time high .	10
retailers	1	3	As electronic devices proliferate , retailers are seeing record numbers of used laptops , smartphones and tablets being sold for quick cash or credit .	5
sled	0	0	After a mostly snowless winter , the Overland Park , Kansas , man enjoyed finally getting to sled with his children on the Presidents Day holiday .	17
sure	0	0	CHICAGO -- The first three times they were together , Nicole Giambalvo was n't sure she 'd be able to make a connection with Kathryn Dungan .	14
lilting	1	6	`` Kadra , it 's you , '' he says in the lilting Somali language .	12
go-ahead	0	0	Another person connected to the case had said earlier that the union was `` ready to go once he -LSB- Brady -RSB- gives the go-ahead . ''	24
scholarships	1	6	She said the money will help build more than a dozen schools , rehabilitate hundreds of facilities and provide training and scholarships to help Pakistani girls `` fulfill their promise '' to become the next generation of doctors , teachers and entrepreneurs .	21
evolving	1	7	He defended his record -- and implicitly urged the public to elect another Democratic president to build on it -- but acknowledged the persistent anxieties of Americans who feel shut out of a changing economy or at risk from an evolving terror threat .	40
toughest	1	3	It was time to adopt the toughest rationing measures they could .	6
unfounded	1	4	`` As long as there is no evidence , it is difficult to consider the accusations , which appear rather unfounded , '' said Putin spokesman Dmitry Peskov .	20
media	0	0	It will also be a wink to his craft , the one he uses to capture this city , his `` beautiful ghetto , '' in powerful black-and-white photos that have made him a surprise media sensation .	35
seed	0	0	A single can contained 240 milligrams of caffeine and 2,000 mg of taurine , along with guarana seed , ginseng root and milk thistle extracts .	17
evaded	1	5	The shooter , Ataullah Khan , is one of four suspects who have evaded capture .	13
seats	0	0	Surveys show that uncomfortable seats and shrinking legroom have become the top gripes of travelers , surpassing ticket prices and security lines .	4
recruit	1	5	Home Depot is one of a number of companies that have stepped up their efforts to recruit U.S. military veterans , helping ex-service members such as Miranda who have struggled to find work and to adjust to life back home .	16
nobody	0	0	`` It 's nobody else 's business , '' Christie said , adding that it became public only because a reporter from the New York Post asked him a direct question about the procedure .	3
inaccurate	1	7	Only two of the 10 men tried were convicted , but the officials chose not to clear up confusion caused by inaccurate media reporting in April -- probably to gain political mileage for acting decisively against Malala 's attackers .	21
world	0	0	Proponents of the requirement argued that American children were falling behind in financial literacy and that the increasingly complex world of consumer banking demanded a new kind of education .	19
trial	0	0	But after a trial run in New Zealand earlier this year , DeVaul and other engineers on the project say they believe a global network of low-cost , high-altitude balloons could carry enough wireless transponders to beam Internet connections to remote parts of Africa , Asia and other developing regions .	3
textile	1	4	The new evidence , published in the journal PLOS One , comes from funerary textile remnants collected from two of the earliest known Egyptian cemeteries that date to 4500 B.C. .	14
Spotify	0	0	WASHINGTON -- Whether belting out lyrics to Al Green 's `` Let 's Stay Together , '' leading a mournful congregation through `` Amazing Grace , '' or tweeting his Spotify music playlist that includes Stevie Wonder and Nina Simone , President Barack Obama has shown that he 's a pretty soulful guy .	30
cooperation	1	3	Instead , he spoke of a `` new model of major country cooperation , '' saying U.S.-China relations must hinge on trust and a positive notion of each other 's motives .	12
kinky	1	6	The nearly 20 girls unanimously agreed that if a woman had short , kinky hair , she was not beautiful .	13
showed	0	0	Results from the 2012 Program of International Student Assessment showed that U.S. teenagers were in the bottom half for financial literacy among the 18 countries that participated , ahead of France and Spain , but below Latvia , Russia and China .	9
hockey	0	0	The lawsuit , which is similar to one brought by former football players against the NFL , joins others filed by hockey players in Washington and New York and seeks monetary damages and increased medical monitoring .	21
overthrown	0	0	Born in Rome on Jan. 5 , 1938 , Juan Carlos was the son of Don Juan of Bourbon and Battenberg , the heir to the throne of the Bourbon dynasty , which had been overthrown in 1931 .	35
centerpiece	1	7	In the midst of the stirring `` Glory , '' the musical centerpiece of the Oscar-nominated movie `` Selma , '' Chicago rapper Common delivers a terse summation of how words , melody and a protest merged during the civil-rights movement .	12
warnings	0	0	Despite warnings that the demonstrations could cause serious damage to Hong Kong 's economy and reputation as a stable Asian financial hub , the city 's stock exchange seemed to take the day 's activities in stride , falling less than 2 percent .	1
Peace	0	0	Peace !	0
ideology	1	9	The problems Ryan identified had less to do with partisan gridlock between Republicans and Democrats and more to do with divisions within his own party stoked by difference over tactics and ideology .	31
secure	1	3	Beijing was seen by the International Olympic Committee as a secure , reliable choice that also offered vast commercial opportunities in a new winter sports market of more than 300 million people in northern China .	10
bay	0	0	But unlike the other whales , the 25-foot-long young adult stuck near the surface -- and it did n't dive down to feast on the blooms of krill that attract humpbacks to the bay .	33
self-imposed	1	4	`` We took it upon ourselves to really promote the sport at a time when it was a big time taboo ... when there was a self-imposed censorship on women 's sports . ''	26
personal	0	0	`` I have nothing anymore , nowhere to go , no apartment ... and all my documents and personal belongings were burned , '' Poludnitsina , 25 , said as she sat in a tent she shares with a family of four .	18
arguing	0	0	They 're arguing that as sea ice continues to melt in the Arctic , passageways are opening for certain animals - heretofore restricted by the ice - to start moving through , enabling them to cross into new territories .	2
fled	0	0	The couple , who fled Iraq 's second-largest city of Mosul after it was captured by Sunni extremists earlier this month , has always been poor .	4
directive	1	7	The president 's directive comes along with the release of a new White House review that found the so-called `` surplus '' programs of the Department of Defense and other federal agencies to be a mishmash of rules and practices , with no clear sign that all police are properly trained and certified to use the military-grade equipment they receive .	3
requirements	1	7	The School Nutrition Association is calling on Congress and the U.S. Department of Agriculture to ease up on the next round of federal healthy food requirements , due July 1 .	25
firefighters	0	0	The firefighters went missing while fighting the Yarnell Hill fire , an out-of-control blaze that had engulfed the evacuated community of Yarnell , population 649 , burning down much of the town , officials said .	1
math	0	0	To patch up some weakness he saw in his own math skills , he took a course , `` Numerical Analysis , '' offered online by the Ecole Polytechnique Federale de Lausanne in Switzerland .	10
attempting	1	5	`` I 'm not attempting to tell a narrative , '' Bunch said .	4
concept	1	4	`` We 're taking the Iron Man concept and bringing it closer to reality , '' said Dowling , referring to the Marvel Comics character Tony Stark , an industrialist and master engineer who builds a rocket-powered exoskeleton , turning himself into a superhero .	7
doctorate	1	6	He received 34 scholarships worth $ 1.3 million -- enough to get his bachelor 's , his master 's , and his doctorate , plus cover his living expenses with some left over to invest .	22
water	0	0	Less ice means more open water to generate large waves -- creating a feedback loop that could doom the ice cap .	5
fitted	0	0	Women are bound by strict rules when it comes to their attire , so they can not be seen by men while jogging in sweat pants , much less wearing fitted or revealing shorts .	30
praising	0	0	`` Children giving to children is really valuable , '' Oppenheimer said , praising Kyle 's ability not only to appeal to his peers but to motivate students in lower grades to be part of the project .	13
mollusks	1	6	Paleontologists have recovered mollusks , asphalt-saturated sand dollars , pieces of driftwood and Monterey cypress cones .	3
scuffle	1	9	The third time he got into a scuffle , something different happened : A counselor at Augustus Hawkins High School in South Los Angeles pulled Banks and the other teen aside and told them they needed to talk .	7
friction	1	7	BEIJING -- In a sharp rebuff , China accused Washington on Wednesday of taking Japan 's side in a tense clash over disputed islands in the East China Sea , underscoring rising regional friction as visiting Vice President Joe Biden met with Beijing 's leaders .	33
Given	0	0	`` Given the way the meeting transpired , '' Ray Halbritter , an Oneida representative and leader of the `` Change the Mascot Campaign , '' said Wednesday , `` it became somewhat evident they were defending the continued use of the name .	1
Rule	0	0	`` It 's like they had to make a mental readjustment , '' said Brumfield , founder of the non-profit Girls Rule !	21
lifelike	1	3	The software , called Hyperion , simulates the physics of light , which can make animated films more lifelike or give them an otherworldly look .	18
opened	0	0	When she opened her credit card statement , she saw a slew of charges from Apple , totaling $ 600 in one day .	2
fathers	0	0	Bailey and his daughter were among dozens of father-daughter couples gathered on Chicago 's South Side recently at a party designed to spotlight the role of black fathers in their daughter 's lives .	27
injury	0	0	In late April , the then-26-year-old shot his Fuji X-T1 over and over again as demonstrators took to the streets to protest the death of Freddie Gray , who suffered a fatal injury in police custody .	32
bread	0	0	One would require all grain servings to be rich in whole grains -- or more than 50 percent whole-grain -- affecting such items as pastas , bread , rolls and pizza crusts .	26
jolted	1	7	Some of the roughly 150 passengers on the early morning Metro-North train from Poughkeepsie to Manhattan were jolted from sleep around 7:20 a.m. to screams and the frightening sensation of their compartment rolling over on a bend in the Bronx where the Hudson and Harlem rivers meet .	17
spent	0	0	ANCHORAGE , Alaska -- Many middle school students in south-central Alaska spent spring break playing video games , skiing in what little snow has fallen or just enjoying a lazy week away from school .	11
steamy	1	3	-LSB- -RSB- -LRB- https://newsela-test-files-f331e.s3.amazonaws.com/article_media/extra/AP93848837894.jpg -RRB- It was a steamy August morning , one of those tongue-dragging days when you ca n't stop imagining how good a mouthful of ice would feel .	8
hands	0	0	For golfers , it 's an uncontrollable spasm that occurs in the hands right before impact , says Dr. Debbie Crews , a sports psychology consultant for the Arizona State University women 's golf team and a faculty research assistant in the professional golf management program .	12
mixed	0	0	The sweeping , unanimous decision Tuesday by a three-judge panel of the 9th U.S. Circuit Court of Appeals overturned a mixed jury verdict in an antitrust case involving an AIDS drug .	20
journal	0	0	The findings , described in the journal Science Advances , reveals another complexity of the effects of climate change -- both the effects it has on animal populations and the way it affects human disease , in the context of socioeconomic disparities .	6
watch	0	0	The Nizards complain that Sacha has lost his bearings , and that their leisurely Tuesday evenings , when the family could go out to dinner or Sacha could watch TV without worrying about class the next morning , have been sabotaged .	28
confessions	1	4	Local tribunals called gacaca courts have allowed many offenders to be released from prison in return for confessions and expressions of remorse .	17
moved	0	0	Virginia was one of many states that moved to offer more personal-finance courses on the heels of the Great Recession , hoping to instill practical money-management skills to help the next generation avoid the pitfalls that many of their parents experienced .	7
earliest	0	0	The new evidence , published in the journal PLOS One , comes from funerary textile remnants collected from two of the earliest known Egyptian cemeteries that date to 4500 B.C. .	21
Humans	0	0	Humans and other primates are more susceptible to contagious yawning when they are around those with which they share `` a close social bond . ''	0
grains	0	0	One would require all grain servings to be rich in whole grains -- or more than 50 percent whole-grain -- affecting such items as pastas , bread , rolls and pizza crusts .	11
furious	1	4	After a furious firefight , the two men were rescued , but that episode in 2006 would change Dowling 's life .	2
police	0	0	It should be no surprise then that young children play `` police and Taliban , '' chasing each other around with toy guns and weaponry designed to mimic the real thing .	11
